Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification,Match/Mismatch
14,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
15,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
16,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
17,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
18,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
19,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
20,53511,55105.0,2500,2002.0,Assigned,55105002500,55105.0,WI,Rock County,55105002500.0,1.0,100.0,0.0,Urban,Urban,Match
25,53094,55055.0,100200,3027.0,Assigned,55055100200,55055.0,WI,Jefferson County,55055100200.0,4.0,100.0,0.0,Urban,Urban,Match
26,53094,55055.0,100200,3027.0,Assigned,55055100200,55055.0,WI,Jefferson County,55055100200.0,4.0,100.0,0.0,Urban,Urban,Match
31,53590,55025.0,11505,2002.0,Assigned,55025011505,55025.0,WI,Dane County,55025011505.0,1.0,100.0,0.0,Urban,Urban,Match
33,53590,55025.0,11504,1028.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban,Match
34,53226,55079.0,90700,1000.0,Assigned,55079090700,55079.0,WI,Milwaukee County,55079090700.0,1.0,100.0,0.0,Urban,Urban,Match
36,53590,55025.0,11504,2038.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban,Match
49,54701,55035.0,803,2035.0,Assigned,55035000803,55035.0,WI,Eau Claire County,55035000803.0,1.0,100.0,0.0,Urban,Urban,Match
50,54701,55035.0,801,2002.0,Assigned,55035000801,55035.0,WI,Eau Claire County,55035000801.0,1.0,100.0,0.0,Urban,Urban,Match
61,54701,55035.0,803,1026.0,Assigned,55035000803,55035.0,WI,Eau Claire County,55035000803.0,1.0,100.0,0.0,Urban,Urban,Match
69,54701,55035.0,802,2014.0,Assigned,55035000802,55035.0,WI,Eau Claire County,55035000802.0,1.0,100.0,0.0,Urban,Urban,Match
70,54701,55035.0,802,2014.0,Assigned,55035000802,55035.0,WI,Eau Claire County,55035000802.0,1.0,100.0,0.0,Urban,Urban,Match
73,53590,55025.0,11505,3002.0,Assigned,55025011505,55025.0,WI,Dane County,55025011505.0,1.0,100.0,0.0,Urban,Urban,Match
76,53714,55025.0,3001,1008.0,Assigned,55025003001,55025.0,WI,Dane County,55025003001.0,1.0,100.0,0.0,Urban,Urban,Match
77,54915,55087.0,11600,3028.0,Assigned,55087011600,55087.0,WI,Outagamie County,55087011600.0,1.0,100.0,0.0,Urban,Urban,Match
79,54703,55035.0,501,3005.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban,Match
80,54703,55035.0,501,2023.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban,Match
81,54703,55035.0,501,2023.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban,Match
91,54703,55035.0,501,3016.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban,Match
93,54729,55017.0,10100,1000.0,Assigned,55017010100,55017.0,WI,Chippewa County,55017010100.0,1.0,100.0,0.0,Urban,Urban,Match
98,53590,55025.0,11504,1009.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban,Match
