Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification
44,53590,55025.0,11600,2014.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
45,54720,55035.0,400,3043.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
46,54701,55035.0,302,1125.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
47,54720,55035.0,400,5044.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
48,54720,55035.0,400,2000.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
49,54701,55035.0,803,2035.0,Assigned,55035000803,55035.0,WI,Eau Claire County,55035000803.0,1.0,100.0,0.0,Urban,Urban
50,54701,55035.0,801,2002.0,Assigned,55035000801,55035.0,WI,Eau Claire County,55035000801.0,1.0,100.0,0.0,Urban,Urban
51,54758,55121.0,100100,2095.0,Assigned,55121100100,55121.0,WI,Trempealeau County,55121100100.0,2.0,0.0,100.0,Urban,Rural
52,54703,,0,,Unassigned,0,,,,,,,,Unknown,
53,54701,55035.0,302,2018.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
54,54742,55035.0,302,1189.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
55,54742,55035.0,302,1189.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
56,54729,55017.0,10500,4047.0,Assigned,55017010500,55017.0,WI,Chippewa County,55017010500.0,1.0,96.6176973,3.382302699,Urban,Urban
57,54724,55017.0,11200,4092.0,Assigned,55017011200,55017.0,WI,Chippewa County,55017011200.0,7.0,0.0,100.0,Urban,Rural
58,54729,55017.0,10200,3058.0,Assigned,55017010200,55017.0,WI,Chippewa County,55017010200.0,1.0,83.68571818,16.31428182,Urban,Urban
59,54729,55017.0,10200,3058.0,Assigned,55017010200,55017.0,WI,Chippewa County,55017010200.0,1.0,83.68571818,16.31428182,Urban,Urban
60,54729,55017.0,10200,3058.0,Assigned,55017010200,55017.0,WI,Chippewa County,55017010200.0,1.0,83.68571818,16.31428182,Urban,Urban
61,54701,55035.0,803,1026.0,Assigned,55035000803,55035.0,WI,Eau Claire County,55035000803.0,1.0,100.0,0.0,Urban,Urban
62,54720,55035.0,400,4008.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
63,54720,55035.0,400,4002.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
64,54701,55035.0,302,1149.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
65,54701,55035.0,400,2023.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
66,54493,55019.0,950800,1095.0,Assigned,55019950800,55019.0,WI,Clark County,55019950800.0,10.0,0.0,100.0,Rural,Rural
67,54720,55035.0,400,4008.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
68,54701,55035.0,302,3025.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
69,54701,55035.0,802,2014.0,Assigned,55035000802,55035.0,WI,Eau Claire County,55035000802.0,1.0,100.0,0.0,Urban,Urban
70,54701,55035.0,802,2014.0,Assigned,55035000802,55035.0,WI,Eau Claire County,55035000802.0,1.0,100.0,0.0,Urban,Urban
71,54721,55091.0,950200,1079.0,Assigned,55091950200,55091.0,WI,Pepin County,55091950200.0,10.0,0.0,100.0,Rural,Rural
72,54729,55017.0,10300,5011.0,Assigned,55017010300,55017.0,WI,Chippewa County,55017010300.0,1.0,99.87258828,0.127411722,Urban,Urban
73,53590,55025.0,11505,3002.0,Assigned,55025011505,55025.0,WI,Dane County,55025011505.0,1.0,100.0,0.0,Urban,Urban
74,54982,55137.0,960800,2025.0,Assigned,55137960800,55137.0,WI,Waushara County,55137960800.0,7.0,0.0,100.0,Urban,Rural
75,53590,55025.0,11506,1012.0,Assigned,55025011506,55025.0,WI,Dane County,55025011506.0,1.0,98.972854,1.027146001,Urban,Urban
76,53714,55025.0,3001,1008.0,Assigned,55025003001,55025.0,WI,Dane County,55025003001.0,1.0,100.0,0.0,Urban,Urban
77,54915,55087.0,11600,3028.0,Assigned,55087011600,55087.0,WI,Outagamie County,55087011600.0,1.0,100.0,0.0,Urban,Urban
78,53590,55025.0,11402,3124.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,
79,54703,55035.0,501,3005.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban
80,54703,55035.0,501,2023.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban
81,54703,55035.0,501,2023.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban
82,53590,55025.0,11503,2052.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,
83,54703,55035.0,1300,1099.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
84,54720,55035.0,400,3006.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
85,54720,55035.0,400,1018.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
86,54720,55035.0,400,1018.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
87,54703,55035.0,1500,1064.0,Assigned,55035001500,55035.0,WI,Eau Claire County,55035001500.0,1.0,46.02228557,53.97771443,Urban,Rural
88,54703,55035.0,1500,1064.0,Assigned,55035001500,55035.0,WI,Eau Claire County,55035001500.0,1.0,46.02228557,53.97771443,Urban,Rural
89,54701,,0,,Unassigned,0,,,,,,,,Unknown,
90,54701,,0,,Unassigned,0,,,,,,,,Unknown,
91,54703,55035.0,501,3016.0,Assigned,55035000501,55035.0,WI,Eau Claire County,55035000501.0,1.0,100.0,0.0,Urban,Urban
92,54701,55035.0,302,1098.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
93,54729,55017.0,10100,1000.0,Assigned,55017010100,55017.0,WI,Chippewa County,55017010100.0,1.0,100.0,0.0,Urban,Urban
94,54703,55035.0,502,2012.0,Assigned,55035000502,55035.0,WI,Eau Claire County,55035000502.0,1.0,97.44887629,2.551123709,Urban,Urban
95,54701,55035.0,400,1037.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
96,54729,55017.0,10700,3011.0,Assigned,55017010700,55017.0,WI,Chippewa County,55017010700.0,1.0,37.607704,62.392296,Urban,Rural
97,54467,55097.0,961200,3068.0,Assigned,55097961200,55097.0,WI,Portage County,55097961200.0,4.0,64.18411379,35.81588621,Urban,Urban
98,53590,55025.0,11504,1009.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban
99,53590,55025.0,11504,1009.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban
100,53590,55025.0,11600,3050.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
101,53590,55025.0,11600,3050.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
