ZipCode,CountyFIPS,CensusTract,CensusBlock
53223,55079,600,2012
53222,55079,90200,2010
53215,55079,17200,2003
53022,55131,470203,2004
53132,55079,150100,2000
53216,55079,4800,1008
53223,55079,50101,1011
53218,55079,3200,2003
53132,55079,150301,1026
53172,,,
53045,55133,200801,2034
54901,55139,400,3003
53511,55105,1800,3010
53222,55079,90200,1023
53217,55079,60101,2020
53209,55079,60102,1012
53132,55079,150100,3035
53221,55079,120502,3008
53206,55079,8400,1002
53066,55133,204100,3052
53186,55133,202700,2001
53219,55079,100200,4006
53188,55133,203102,2006
53223,55079,600,4009
53217,55079,30100,3000
53154,55079,160203,2005
53210,55079,5800,1007
53129,55079,140201,2013
53216,55079,5000,1011
53211,55079,7300,3003
53072,55133,203305,2021
53149,55133,203901,1030
33050,12087,971200,1032
53094,55055,101701,1053
53018,55133,203703,2010
53188,,,
53072,55133,203303,2014
53072,55133,203602,4010
53217,55079,30100,2017
53209,55079,60101,1003
53217,55079,30100,2017
53074,55089,630100,1018
53092,55089,660304,1033
53151,55133,201403,3007
53186,55133,202500,3046
53228,55079,19500,1015
53228,55079,19500,1015
53149,55127,101,2018
53151,55133,201506,2014
53066,55133,204502,3013
53058,55133,204100,1011
53066,55133,204301,1012
53118,55133,204004,4009
53150,55133,201900,2000
53218,55079,1900,4000
53218,55079,3000,3008
53066,55133,204301,1001
53072,55133,203304,2033
53017,55133,203500,1000
53218,55079,3000,1006
53209,55079,2400,2007
53208,55079,13600,1006
53225,55079,400,1009
53218,55079,3100,1004
53216,55079,4100,3007
53210,55079,6000,2001
53215,55079,17300,3008
53207,55079,18000,1050
53132,55079,187300,3038
53132,55079,187300,3038
53132,55079,150301,2011
53132,55079,150301,2011
53150,55133,201703,4011
53129,55079,140201,2005
53146,55133,201300,2000
53146,55133,201300,2000
53149,55133,203802,2010
53150,55133,201900,3010
53220,55079,19900,2001
53189,55133,203804,5018
53027,55131,440106,2014
53005,55133,200700,1036
53222,55079,5600,2007
53222,55079,5400,2002
53146,55133,201600,3017
53150,55133,201900,1013
53150,55133,201900,1013
53215,55079,18700,3002
53150,55133,201704,1006
53146,55133,201600,3016
53210,55079,6100,3005
53210,55079,6100,3005
53206,55079,8700,2003
53225,55079,303,1009
53225,55079,303,1009
53224,55079,302,1021
53222,55079,5800,2008
53224,55079,302,1021
53018,55133,203702,2007
53029,55133,203500,4007
53119,55133,204002,1066
53151,55133,201506,1007
53151,55133,201506,1007
53151,55133,201403,1004
53210,55079,6200,1001
53066,55133,204501,1040
53118,55133,204003,3014
53151,55133,201504,1029
53045,55133,201201,2016
53151,55133,201506,1007
53150,55133,201701,3018
60045,17097,863500,3000
53005,55133,200902,3006
53150,55133,201704,1006
54154,55083,101200,2038
53005,55133,200901,1002
53151,55133,201403,3010
53222,55079,5200,1007
53045,55133,201203,1007
53154,55079,160300,1003
53154,55079,160300,1003
53045,55133,201203,2051
53151,55133,201503,5000
53066,55133,204100,1010
53178,55055,100800,2045
53149,,,
53120,55127,101,4005
53119,55133,204002,2030
53072,55133,203304,2061
53144,55059,601,3081
53227,55079,19400,2004
53207,55079,18100,2012
53132,55079,150301,3015
53189,55133,201600,2026
53027,55131,440106,1038
53217,55079,35100,1001
53092,55089,660304,1033
53218,55079,1700,1007
53216,55079,3500,1006
53132,55079,150100,3018
53066,55133,204100,1047
53225,55079,502,1004
53221,55079,21400,1005
53210,55079,5000,2015
53220,55079,120502,1005
53182,55101,2002,1040
53151,55133,201505,2008
53223,55079,50101,2003
53207,55079,20900,3008
53405,55101,600,6002
53150,55133,201704,4007
53216,55079,5100,2004
53132,55079,187300,3015
53154,55079,160202,3020
53402,55101,1501,3004
53103,55133,202002,1034
53218,55079,3300,3001
53103,55133,202002,1034
53154,55079,160202,4005
53218,55079,3300,3001
53219,55079,101700,1000
53220,55079,19700,4006
53154,55079,160202,4005
53151,55133,201403,1005
53132,55079,150301,2014
53129,55079,140202,3021
53129,55079,140202,3021
53218,55079,2700,2004
53224,55079,302,1010
53209,55079,60200,3004
53212,55079,,3004
53209,55079,60200,3004
53209,55079,60200,3004
53225,55079,501,2016
53206,55079,4500,3007
53225,55079,1700,5006
53208,55079,13600,1001
53225,55079,501,2016
53005,55133,,3013
53154,55079,160300,4027
53206,55079,6500,3003
53215,55079,20400,3002
53208,55079,13600,1007
53208,55079,9400,1004
53222,55079,3400,3004
53215,55079,20100,2001
53227,55079,100900,2023
53223,55079,700,3001
53228,55079,120102,3000
53228,55079,120102,3000
53223,55079,700,3001
53209,55079,2500,2001
53130,55079,130200,2004
53218,55079,1800,2003
53223,55079,700,3001
53223,55079,700,3001
53215,55079,19000,2009
53227,55079,101400,3000
53129,55079,140202,2010
53188,55133,203101,1010
53218,55079,,1015
53129,55079,140202,2010
53216,55079,4800,2009
53218,55079,3500,2002
53219,55079,19800,5015
53211,55079,7300,1006
53209,55079,2100,3006
53402,55101,1302,4000
53235,55079,185200,2000
53235,55079,185200,2000
53132,55079,187300,3013
53005,55133,201102,2013
53151,55133,201402,1014
53150,55133,201704,2003
53146,55133,201600,3016
53151,55133,201504,1024
53226,55079,90600,3002
53151,55133,201404,2035
53121,55127,302,4004
53150,55133,201504,3012
53103,,,
53150,55133,201900,1013
53227,55079,19400,2011
53151,55133,201506,2017
53150,55133,201703,1003
53151,55133,201506,1007
53151,55133,201404,1004
53227,55079,101000,3000
53022,55131,470203,1010
53209,55079,50102,3006
53217,55079,70100,3021
53217,55079,70100,3021
53092,55089,660304,1038
53024,55089,640100,5009
53217,55079,35200,4009
53217,55079,35200,4009
53217,55079,70300,5006
53224,55079,201,2008
53217,55079,35100,2017
80134,8035,13908,4000
60657,17031,63200,1002
53224,55079,201,2008
53211,55079,70200,2010
53211,55079,7500,3015
53211,55079,7500,3015
53092,55089,660304,1001
53209,55079,60200,2038
53186,55133,202302,3001
53227,55079,101100,2002
53186,55133,202302,3001
53227,55079,101000,3000
53005,55133,200902,1017
53189,55133,202101,2030
53189,55133,202101,2030
53005,55133,201101,3084
53072,55133,203200,1022
53183,55133,203804,1030
53188,55133,203702,3009
53027,55131,440104,3066
53058,55133,203703,2009
53018,55133,203702,2007
53119,55133,204002,1066
53089,55133,203405,2003
53207,55079,17900,2003
53005,55133,201102,1001
53045,55133,200804,3017
53130,55079,130100,1019
53130,55079,130100,1019
53151,55133,201503,4012
53151,55133,201504,2022
53005,55133,201102,1001
53227,55079,101400,4010
53005,55133,201101,4007
53227,55079,101400,4010
53130,55079,130200,2013
53132,55079,150100,4007
53154,55079,,
53132,55079,150304,1020
53406,55101,1706,3000
53066,55133,204200,5028
53189,55133,202103,2016
53213,55079,90900,3006
53213,55079,91200,1009
53219,55079,101700,3013
53208,55079,14900,1006
53222,55079,90100,3015
53222,55079,90100,3015
53220,55079,19800,3007
53224,55079,102,2018
53225,55079,303,2009
53222,55079,90100,3015
53219,55079,101500,2007
53224,55079,304,2006
53204,55079,16900,2002
53206,55079,4600,2000
53215,55079,19100,1002
53210,55079,6100,3004
53208,55079,14900,1006
53110,55079,180200,2006
53225,55079,90100,2030
53214,55079,100100,4001
53223,55079,700,3000
53215,55079,17400,1002
53209,55079,900,2000
53219,55079,19600,4001
53213,55079,90900,1007
53216,55079,3700,1012
53215,55079,16000,2007
53204,55079,16200,1002
53220,55079,120202,1007
53225,55079,502,2010
53225,55079,1700,5000
53132,55079,150304,1020
53202,55079,14300,1003
53222,55079,5700,2014
53235,55079,185100,2001
53205,55079,185500,1018
53217,55079,70100,5003
53209,55079,60102,2012
53172,55079,170500,2002
53223,55079,800,2009
53226,55079,185300,1001
53590,55025,11506,1013
53129,55079,140202,3007
53225,,,
53132,55079,187300,1007
53209,55079,1000,1006
53051,55133,200400,1022
53132,55079,150301,2012
53132,55079,150301,2012
53132,55079,187300,2000
53154,55079,160300,1026
53226,55079,185300,3004
53225,55079,1600,2003
53207,55079,186600,1001
53214,55079,100900,1003
53220,55079,19700,2011
53211,55079,80200,2002
53213,55079,91200,1002
53207,55079,20700,4006
53204,55079,16400,3006
53224,55079,302,1017
53213,55079,91100,3019
53202,55079,11200,2007
53202,55079,11200,2007
53129,55079,140201,1016
53204,55079,186500,1031
53208,55079,9500,3005
53208,55079,9500,3003
53213,55079,91100,2014
53215,55079,20300,1006
53132,55079,150100,3005
53151,55133,201504,1028
53212,55079,10700,2025
53224,55079,302,1017
53154,55079,160202,4018
53017,55133,203406,1008
53154,55079,160202,2012
53207,55079,18300,1013
53021,55089,620100,1003
53214,55079,100100,2010
53217,55079,35200,2013
53132,55079,150301,1016
53129,55079,140202,4014
53132,55079,187200,3014
53132,55079,187300,1008
53209,55079,2100,2001
53209,55079,50102,4022
53213,55079,90800,3001
53213,55079,91100,1004
53211,55079,80100,2000
53132,55079,150304,1019
53218,55079,1200,1007
53129,55079,140201,3016
53072,55133,203303,1030
53022,55131,470202,4000
53029,55133,203405,2014
53538,55055,101300,1033
53012,55089,650200,2014
53212,55079,7100,2005
53151,55133,201402,2008
53220,55079,120202,2001
53221,55079,120501,3001
53189,55133,202101,2014
53129,55079,140201,2012
53223,55079,50101,1014
53150,55133,201900,2006
53118,55133,204004,3020
53183,55133,203804,2016
53150,55133,201701,1008
53211,55079,70200,2017
53118,55133,204003,3036
53146,55133,201600,2023
53212,55079,10700,2000
53066,55133,204502,5010
53154,55079,160100,2000
53058,55133,203703,1048
53217,55079,30100,3000
54956,55139,3500,1019
53029,55133,203601,4014
53212,55079,7100,1001
53228,55079,120201,1000
53207,55079,21700,5015
53132,55079,187200,3000
53202,55079,11000,1000
53217,55079,35100,3013
53208,55079,9200,2006
53226,55079,90700,1002
53212,55079,7200,3008
53223,55079,50101,1009
53209,55079,900,2007
53219,55079,19200,2010
53222,55079,5400,4003
53222,55079,3400,5003
53223,55079,101,3000
53218,55079,3000,2002
53204,55079,17000,1006
53204,55079,16900,2005
53216,55079,3800,3003
53211,55079,7300,1006
53208,55079,12400,1001
53235,55079,185100,2001
53207,55079,18100,1019
53129,55079,140201,1016
53202,55079,187000,2001
53223,55079,101,1004
53202,55079,11100,1004
53215,55079,16100,3013
53213,55079,91000,4002
53209,55079,900,2002
53225,55079,502,3001
53218,55079,3000,1006
53215,55079,16100,3013
53219,55079,101800,1005
53219,55079,101800,1005
53219,55079,101500,3011
53215,55079,16100,3013
53204,55079,16500,2006
53206,55079,4500,2015
53227,55079,19600,4009
53204,55079,186500,2022
53215,55079,18700,1004
53227,55079,101400,3006
53204,55079,15900,1002
53225,55079,600,3014
53225,55079,1600,2003
53224,55079,101,2006
53221,55079,120400,5001
53227,55079,19600,4009
53227,55079,19600,4009
53204,55079,15700,3004
53207,55079,18100,1005
53207,55079,186600,1001
53202,55079,14300,1003
53202,55079,11100,1004
53223,55079,800,1001
53224,55079,202,3032
53216,55079,3600,2003
53222,55079,90100,1024
53220,55079,19700,3011
