State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010",Urban-or-Rural-USDA-Classification
55117,WI,Sheboygan County,55117000202,1,1.0,"4,149",0.8,"5,127.40",Urban
55117,WI,Sheboygan County,55117000300,1,1.0,"7,111",2.3,"3,044.40",Urban
55117,WI,Sheboygan County,55117000400,1,1.0,"4,412",2.6,"1,700.60",Urban
55117,WI,Sheboygan County,55117000500,1,1.0,"3,898",0.5,"7,770.40",Urban
55117,WI,Sheboygan County,55117000800,1,1.0,"5,397",1.0,"5,398.40",Urban
55117,WI,Sheboygan County,55117000900,1,1.0,"5,126",3.5,"1,480.80",Urban
55117,WI,Sheboygan County,55117001000,1,1.0,"7,415",1.9,"3,920.70",Urban
55117,WI,Sheboygan County,55117001100,1,1.0,"3,627",1.4,"2,525.10",Urban
55117,WI,Sheboygan County,55117010200,1,1.0,"4,598",18.0,255,Urban
55117,WI,Sheboygan County,55117010601,1,1.0,"5,594",2.6,"2,134.30",Urban
55117,WI,Sheboygan County,55117010602,1,1.0,"3,793",33.1,114.6,Urban
55117,WI,Sheboygan County,55117010700,1,1.0,"8,202",14.7,557,Urban
55117,WI,Sheboygan County,55117010800,1,1.0,"3,507",22.6,155.2,Urban
55117,WI,Sheboygan County,55117011400,1,1.0,"2,424",0.5,"4,420.40",Urban
55131,WI,Washington County,55131400102,1,1.1,"3,931",3.6,"1,098.80",Urban
55131,WI,Washington County,55131400104,1,1.1,"5,715",32.6,175.2,Urban
55131,WI,Washington County,55131410100,1,1.1,"5,057",24.3,207.8,Urban
55131,WI,Washington County,55131420103,1,1.1,"6,039",15.5,389.8,Urban
55131,WI,Washington County,55131420104,1,1.1,"5,096",20.7,246.7,Urban
55131,WI,Washington County,55131420105,1,1.1,"4,671",2.5,"1,855.70",Urban
55131,WI,Washington County,55131420106,1,1.1,"3,619",2.2,"1,645.90",Urban
55131,WI,Washington County,55131420200,1,1.1,"5,408",2.0,"2,642.60",Urban
55131,WI,Washington County,55131420300,1,1.1,"5,873",1.9,"3,167.10",Urban
55131,WI,Washington County,55131420401,1,1.1,"1,933",0.5,"3,987.40",Urban
55131,WI,Washington County,55131420402,1,1.1,"2,093",0.7,"3,105.00",Urban
55131,WI,Washington County,55131440103,1,1.1,"4,827",11.3,428.3,Urban
55131,WI,Washington County,55131440104,1,1.1,"5,614",8.0,704.4,Urban
55131,WI,Washington County,55131440105,1,1.1,"3,338",15.2,219,Urban
55131,WI,Washington County,55131440200,1,1.1,"4,040",0.9,"4,294.80",Urban
55131,WI,Washington County,55131450103,1,1.1,"5,109",21.4,239.2,Urban
55131,WI,Washington County,55131450104,1,1.1,"6,264",20.9,299.6,Urban
55131,WI,Washington County,55131450106,1,1.1,"5,944",15.6,381.3,Urban
55131,WI,Washington County,55131460101,1,1.0,"6,262",23.9,261.6,Urban
55131,WI,Washington County,55131460102,1,1.0,"5,038",11.9,423.6,Urban
55131,WI,Washington County,55131470100,1,1.0,"5,157",26.8,192.7,Urban
55131,WI,Washington County,55131470202,1,1.0,"6,278",2.0,"3,181.20",Urban
55131,WI,Washington County,55131470203,1,1.0,"4,242",3.5,"1,225.30",Urban
55131,WI,Washington County,55131470204,1,1.0,"4,326",4.0,"1,079.80",Urban
55133,WI,Waukesha County,55133200101,1,1.0,"4,480",1.7,"2,613.60",Urban
55133,WI,Waukesha County,55133200102,1,1.0,"4,852",1.5,"3,223.20",Urban
55133,WI,Waukesha County,55133200103,1,1.0,"3,122",2.1,"1,487.70",Urban
55133,WI,Waukesha County,55133200201,1,1.0,"3,595",2.3,"1,589.60",Urban
55133,WI,Waukesha County,55133200202,1,1.0,"4,206",3.9,"1,088.20",Urban
55133,WI,Waukesha County,55133200300,1,1.0,"4,178",13.4,311.3,Urban
55133,WI,Waukesha County,55133200400,1,1.0,"6,582",7.4,888.8,Urban
55133,WI,Waukesha County,55133200500,1,1.0,"5,667",2.9,"1,926.70",Urban
55133,WI,Waukesha County,55133200600,1,1.0,"1,841",0.8,"2,348.60",Urban
55133,WI,Waukesha County,55133200700,1,1.0,"3,808",2.9,"1,321.90",Urban
55133,WI,Waukesha County,55133200801,1,1.0,"5,114",5.3,964.9,Urban
55133,WI,Waukesha County,55133200803,1,1.0,"4,493",3.5,"1,283.70",Urban
55133,WI,Waukesha County,55133200804,1,1.0,"3,624",2.6,"1,378.70",Urban
55133,WI,Waukesha County,55133200901,1,1.0,"3,932",2.9,"1,343.60",Urban
55133,WI,Waukesha County,55133200902,1,1.0,"4,005",3.0,"1,340.90",Urban
55133,WI,Waukesha County,55133201000,1,1.0,"6,027",3.3,"1,808.50",Urban
